Section,Category,Item,Easy,Average,Difficult,Remodel,Old_Work,Unit
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"1/2""",3.5,4.0,4.5,5.0,5.5,C
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"3/4""",4.0,4.5,5.0,5.5,6.0,C
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"1""",4.5,5.0,5.5,6.0,6.5,C
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"1 1/4""",6.25,7.0,7.75,8.5,9.0,C
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"1 1/2""",7.0,8.0,9.0,10.0,11.0,C
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"2""",9.0,10.0,11.0,12.0,13.0,C
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"2 1/2""",10.0,12.0,13.0,14.0,15.4,C
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"3""",12.0,14.0,16.0,17.5,19.0,C
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"3 1/2""",14.0,16.0,18.0,19.8,22.0,C
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"4""",15.0,18.0,21.0,23.0,25.0,C
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"5""",23.0,25.0,27.0,30.0,33.0,C
RIGID CONDUIT & ELBOWS,RIGID STEEL CONDUIT,"6""",27.0,30.0,33.0,36.0,39.0,C
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"1/2""",0.15,0.2,0.25,0.28,0.3,E
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"3/4""",0.2,0.25,0.3,0.33,0.36,E
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"1""",0.25,0.3,0.35,0.39,0.42,E
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"1 1/4""",0.3,0.4,0.5,0.55,0.61,E
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"1 1/2""",0.4,0.5,0.6,0.66,0.73,E
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"2""",0.6,0.7,0.8,0.88,0.97,E
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"2 1/2""",0.9,1.0,1.1,1.21,1.33,E
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"3""",1.1,1.25,1.4,1.54,1.69,E
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"3 1/2""",1.4,1.6,1.8,1.98,2.18,E
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"4""",1.7,2.0,2.3,2.53,2.78,E
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"5""",2.5,3.0,3.5,3.85,4.24,E
RIGID CONDUIT & ELBOWS,RIGID STEEL ELBOWS,"6""",3.6,4.0,4.4,4.84,5.32,E
RIGID CONDUIT & ELBOWS,RIGID STEEL SWEEP ELBOWS,"1""",0.3,0.35,0.45,0.5,0.55,E
RIGID CONDUIT & ELBOWS,RIGID STEEL SWEEP ELBOWS,"1 1/4""",0.4,0.45,0.5,0.6,0.7,E
RIGID CONDUIT & ELBOWS,RIGID STEEL SWEEP ELBOWS,"1 1/2""",0.5,0.6,0.7,0.8,0.9,E
RIGID CONDUIT & ELBOWS,RIGID STEEL SWEEP ELBOWS,"2""",0.7,0.85,0.9,1.05,1.2,E
RIGID CONDUIT & ELBOWS,RIGID STEEL SWEEP ELBOWS,"2 1/2""",1.05,1.3,1.55,1.8,2.0,E
RIGID CONDUIT & ELBOWS,RIGID STEEL SWEEP ELBOWS,"3""",1.3,1.6,1.9,2.2,2.5,E
RIGID CONDUIT & ELBOWS,RIGID STEEL SWEEP ELBOWS,"SWEEP 3 1/2""",1.6,2.0,2.4,2.8,3.2,E
RIGID CONDUIT & ELBOWS,RIGID STEEL SWEEP ELBOWS,"4""",1.9,2.5,3.1,3.7,4.3,E
RIGID CONDUIT & ELBOWS,RIGID STEEL SWEEP ELBOWS,"5""",2.8,3.6,4.4,5.2,6.0,E
RIGID CONDUIT & ELBOWS,RIGID STEEL SWEEP ELBOWS,"6""",3.9,4.7,5.5,6.3,7.0,E
RIGID CONDUIT & ELBOWS,RIGID STEEL COUPLINGS,"1/2""",0.04,0.05,0.06,0.07,0.07,E
RIGID CONDUIT & ELBOWS,RIGID STEEL COUPLINGS,"3/4""",0.05,0.06,0.07,0.08,0.08,E
RIGID CONDUIT & ELBOWS,RIGID STEEL COUPLINGS,"1""",0.07,0.08,0.09,0.1,0.11,E
RIGID CONDUIT & ELBOWS,RIGID STEEL COUPLINGS,"1 1/4""",0.09,0.1,0.11,0.12,0.13,E
RIGID CONDUIT & ELBOWS,RIGID STEEL COUPLINGS,"1 1/2""",0.11,0.12,0.13,0.14,0.16,E
RIGID CONDUIT & ELBOWS,RIGID STEEL COUPLINGS,"2""",0.13,0.15,0.17,0.19,0.21,E
RIGID CONDUIT & ELBOWS,RIGID STEEL COUPLINGS,"2 1/2""",0.18,0.2,0.22,0.24,0.27,E
RIGID CONDUIT & ELBOWS,RIGID STEEL COUPLINGS,"3""",0.22,0.25,0.28,0.31,0.34,E
RIGID CONDUIT & ELBOWS,RIGID STEEL COUPLINGS,"3 1/2""",0.25,0.3,0.35,0.39,0.42,E
RIGID CONDUIT & ELBOWS,RIGID STEEL COUPLINGS,"4""",0.35,0.4,0.45,0.5,0.54,E
RIGID CONDUIT & ELBOWS,RIGID STEEL COUPLINGS,"5""",0.4,0.5,0.6,0.66,0.73,E
RIGID CONDUIT & ELBOWS,RIGID STEEL COUPLINGS,"6""",0.5,0.6,0.7,0.77,0.85,E
RIGID COUPLINGS,RIGID COUPLINGS SET SCREW TYPE,"1/2""",0.08,0.1,0.12,0.13,0.15,E
RIGID COUPLINGS,RIGID COUPLINGS SET SCREW TYPE,"3/4""",0.1,0.12,0.14,0.15,0.17,E
RIGID COUPLINGS,RIGID COUPLINGS SET SCREW TYPE,"1""",0.13,0.15,0.17,0.19,0.21,E
RIGID COUPLINGS,RIGID COUPLINGS SET SCREW TYPE,"1 1/4""",0.15,0.17,0.19,0.21,0.23,E
RIGID COUPLINGS,RIGID COUPLINGS SET SCREW TYPE,"1 1/2""",0.17,0.2,0.23,0.25,0.28,E
RIGID COUPLINGS,RIGID COUPLINGS SET SCREW TYPE,"2""",0.22,0.25,0.28,0.31,0.34,E
RIGID COUPLINGS,RIGID COUPLINGS SET SCREW TYPE,"2 1/2""",0.25,0.3,0.35,0.39,0.42,E
RIGID COUPLINGS,RIGID COUPLINGS SET SCREW TYPE,"3""",0.35,0.4,0.45,0.5,0.54,E
RIGID COUPLINGS,RIGID COUPLINGS SET SCREW TYPE,"3 1/2""",0.45,0.5,0.55,0.61,0.67,E
RIGID COUPLINGS,RIGID COUPLINGS SET SCREW TYPE,"4""",0.5,0.6,0.7,0.77,0.85,E
RIGID COUPLINGS,RIGID COUPLINGS COMPRESSION TYPE,"1/2""",0.1,0.13,0.16,0.18,0.19,E
RIGID COUPLINGS,RIGID COUPLINGS COMPRESSION TYPE,"3/4""",0.12,0.15,0.18,0.2,0.22,E
RIGID COUPLINGS,RIGID COUPLINGS COMPRESSION TYPE,"1""",0.15,0.19,0.23,0.25,0.28,E
RIGID COUPLINGS,RIGID COUPLINGS COMPRESSION TYPE,"1 1/4""",0.18,0.22,0.26,0.29,0.31,E
RIGID COUPLINGS,RIGID COUPLINGS COMPRESSION TYPE,"1 1/2""",0.2,0.25,0.3,0.33,0.36,E
RIGID COUPLINGS,RIGID COUPLINGS COMPRESSION TYPE,"2""",0.25,0.3,0.35,0.39,0.42,E
RIGID COUPLINGS,RIGID COUPLINGS COMPRESSION TYPE,"2 1/2""",0.3,0.35,0.4,0.44,0.48,E
RIGID COUPLINGS,RIGID COUPLINGS COMPRESSION TYPE,"3""",0.4,0.45,0.5,0.55,0.61,E
RIGID COUPLINGS,RIGID COUPLINGS COMPRESSION TYPE,"3 1/2""",0.47,0.55,0.63,0.69,0.76,E
RIGID COUPLINGS,RIGID COUPLINGS COMPRESSION TYPE,"4""",0.55,0.65,0.75,0.83,0.91,E
RIGID COUPLINGS,SPLIT COUPLING,"1/2""",0.15,0.2,0.25,0.28,0.3,E
RIGID COUPLINGS,SPLIT COUPLING,"3/4""",0.15,0.2,0.25,0.28,0.3,E
RIGID COUPLINGS,SPLIT COUPLING,"1""",0.23,0.3,0.37,0.41,0.45,E
RIGID COUPLINGS,SPLIT COUPLING,"1 1/4""",0.23,0.3,0.37,0.41,0.45,E
RIGID COUPLINGS,SPLIT COUPLING,"1 1/2""",0.3,0.4,0.5,0.55,0.61,E
RIGID COUPLINGS,SPLIT COUPLING,"2""",0.4,0.5,0.6,0.66,0.73,E
RIGID COUPLINGS,SPLIT COUPLING,"2 1/2""",0.5,0.6,0.7,0.77,0.85,E
RIGID COUPLINGS,SPLIT COUPLING,"3""",0.65,0.8,0.95,1.05,1.15,E
RIGID COUPLINGS,SPLIT COUPLING,"3 1/2""",0.8,1.0,1.2,1.32,1.45,E
RIGID COUPLINGS,SPLIT COUPLING,"4""",1.0,1.2,1.4,1.54,1.69,E
RIGID COUPLINGS,SPLIT COUPLING,"5""",1.2,1.4,1.6,1.76,1.94,E
RIGID COUPLINGS,SPLIT COUPLING,"6""",1.4,1.6,1.8,1.98,2.18,E
RIGID COUPLINGS,THREE PIECE COUPLINGS,"1/2""",0.15,0.2,0.25,0.28,0.3,E
RIGID COUPLINGS,THREE PIECE COUPLINGS,"3/4""",0.15,0.2,0.25,0.28,0.3,E
RIGID COUPLINGS,THREE PIECE COUPLINGS,"1""",0.23,0.3,0.37,0.41,0.45,E
RIGID COUPLINGS,THREE PIECE COUPLINGS,"1 1/4""",0.23,0.3,0.37,0.41,0.45,E
RIGID COUPLINGS,THREE PIECE COUPLINGS,"1 1/2""",0.3,0.4,0.5,0.55,0.61,E
RIGID COUPLINGS,THREE PIECE COUPLINGS,"2""",0.4,0.5,0.6,0.66,0.73,E
RIGID COUPLINGS,THREE PIECE COUPLINGS,"2 1/2""",0.5,0.6,0.7,0.77,0.85,E
RIGID COUPLINGS,THREE PIECE COUPLINGS,"3""",0.65,0.8,0.95,1.05,1.15,E
RIGID COUPLINGS,THREE PIECE COUPLINGS,"3 1/2""",0.8,1.0,1.2,1.32,1.45,E
RIGID COUPLINGS,THREE PIECE COUPLINGS,"4""",1.0,1.2,1.4,1.54,1.69,E
RIGID COUPLINGS,THREE PIECE COUPLINGS,"5""",1.2,1.5,1.7,1.87,2.06,E
RIGID COUPLINGS,THREE PIECE COUPLINGS,"6""",1.4,1.75,2.0,2.2,2.42,E
RIGID COUPLINGS & CONNECTORS,EXPANSION COUPLINGS RIGID,"1/2""",0.15,0.2,0.25,0.28,0.3,E
RIGID COUPLINGS & CONNECTORS,EXPANSION COUPLINGS RIGID,"3/4""",0.15,0.2,0.25,0.28,0.3,E
RIGID COUPLINGS & CONNECTORS,EXPANSION COUPLINGS RIGID,"1""",0.25,0.3,0.35,0.39,0.42,E
RIGID COUPLINGS & CONNECTORS,EXPANSION COUPLINGS RIGID,"1 1/4""",0.25,0.3,0.35,0.39,0.42,E
RIGID COUPLINGS & CONNECTORS,EXPANSION COUPLINGS RIGID,"1 1/2""",0.32,0.4,0.48,0.53,0.58,E
RIGID COUPLINGS & CONNECTORS,EXPANSION COUPLINGS RIGID,"2""",0.4,0.5,0.6,0.66,0.73,E
RIGID COUPLINGS & CONNECTORS,EXPANSION COUPLINGS RIGID,"2 1/2""",0.5,0.6,0.7,0.77,0.85,E
RIGID COUPLINGS & CONNECTORS,EXPANSION COUPLINGS RIGID,"3""",0.65,0.8,0.95,1.05,1.15,E
RIGID COUPLINGS & CONNECTORS,EXPANSION COUPLINGS RIGID,"3 1/2""",0.8,1.0,1.2,1.32,1.45,E
RIGID COUPLINGS & CONNECTORS,EXPANSION COUPLINGS RIGID,"4""",0.95,1.2,1.45,1.6,1.75,E
RIGID COUPLINGS & CONNECTORS,EXPANSION COUPLINGS RIGID,"5""",1.2,1.5,1.8,1.98,2.18,E
RIGID COUPLINGS & CONNECTORS,EXPANSION COUPLINGS RIGID,"6""",1.4,1.7,2.0,2.2,2.42,E
RIGID COUPLINGS & CONNECTORS,BONDING JUMPERS,"1/2""",0.08,0.1,0.12,0.13,0.15,E
RIGID COUPLINGS & CONNECTORS,BONDING JUMPERS,"3/4""",0.08,0.1,0.12,0.13,0.15,E
RIGID COUPLINGS & CONNECTORS,BONDING JUMPERS,"1""",0.12,0.15,0.18,0.2,0.22,E
RIGID COUPLINGS & CONNECTORS,BONDING JUMPERS,"1 1/4""",0.12,0.15,0.18,0.2,0.22,E
RIGID COUPLINGS & CONNECTORS,BONDING JUMPERS,"1 1/2""",0.16,0.2,0.24,0.26,0.29,E
RIGID COUPLINGS & CONNECTORS,BONDING JUMPERS,"2""",0.16,0.2,0.24,0.26,0.29,E
RIGID COUPLINGS & CONNECTORS,BONDING JUMPERS,"2 1/2""",0.2,0.25,0.3,0.33,0.36,E
RIGID COUPLINGS & CONNECTORS,BONDING JUMPERS,"3""",0.2,0.25,0.3,0.33,0.36,E
RIGID COUPLINGS & CONNECTORS,BONDING JUMPERS,"3 1/2""",0.24,0.3,0.36,0.4,0.44,E
RIGID COUPLINGS & CONNECTORS,BONDING JUMPERS,"4""",0.24,0.3,0.36,0.4,0.44,E
RIGID COUPLINGS & CONNECTORS,BONDING JUMPERS,"5""",0.28,0.35,0.42,0.46,0.51,E
RIGID COUPLINGS & CONNECTORS,BONDING JUMPERS,"6""",0.28,0.35,0.42,0.46,0.51,E
RIGID COUPLINGS & CONNECTORS,CONNECTORS SET SCREW TYPE,"1/2""",0.04,0.05,0.06,0.07,0.07,E
RIGID COUPLINGS & CONNECTORS,CONNECTORS SET SCREW TYPE,"3/4""",0.05,0.06,0.07,0.08,0.08,E
RIGID COUPLINGS & CONNECTORS,CONNECTORS SET SCREW TYPE,"1""",0.07,0.08,0.09,0.1,0.11,E
RIGID COUPLINGS & CONNECTORS,CONNECTORS SET SCREW TYPE,"1 1/4""",0.09,0.1,0.11,0.12,0.13,E
RIGID COUPLINGS & CONNECTORS,CONNECTORS SET SCREW TYPE,"1 1/2""",0.1,0.12,0.14,0.15,0.17,E
RIGID COUPLINGS & CONNECTORS,CONNECTORS SET SCREW TYPE,"2""",0.13,0.15,0.17,0.19,0.21,E
RIGID COUPLINGS & CONNECTORS,CONNECTORS SET SCREW TYPE,"2 1/2""",0.17,0.2,0.23,0.25,0.28,E
RIGID COUPLINGS & CONNECTORS,CONNECTORS SET SCREW TYPE,"3""",0.19,0.25,0.31,0.34,0.38,E
RIGID COUPLINGS & CONNECTORS,CONNECTORS SET SCREW TYPE,"3 1/2""",0.22,0.3,0.38,0.42,0.46,E
RIGID COUPLINGS & CONNECTORS,CONNECTORS SET SCREW TYPE,"4""",0.3,0.4,0.5,0.55,0.61,E
RIGID COUPLINGS & CONNECTORS,CONNECTORS COMPRESSION TYPE,"1/2""",0.05,0.06,0.07,0.08,0.08,E
RIGID COUPLINGS & CONNECTORS,CONNECTORS COMPRESSION TYPE,"3/4""",0.06,0.07,0.08,0.09,0.1,E
RIGID COUPLINGS & CONNECTORS,CONNECTORS COMPRESSION TYPE,"1""",0.08,0.09,0.1,0.11,0.12,E
RIGID COUPLINGS & CONNECTORS,CONNECTORS COMPRESSION TYPE,"1 1/4""",0.1,0.11,0.12,0.13,0.15,E
RIGID COUPLINGS & CONNECTORS,CONNECTORS COMPRESSION TYPE,"1 1/2""",0.11,0.13,0.15,0.17,0.18,E
RIGID COUPLINGS & CONNECTORS,CONNECTORS COMPRESSION TYPE,"2""",0.14,0.17,0.2,0.22,0.24,E
RIGID COUPLINGS & CONNECTORS,CONNECTORS COMPRESSION TYPE,"2 1/2""",0.19,0.22,0.25,0.28,0.3,E
RIGID COUPLINGS & CONNECTORS,CONNECTORS COMPRESSION TYPE,"3""",0.23,0.27,0.31,0.34,0.38,E
RIGID COUPLINGS & CONNECTORS,CONNECTORS COMPRESSION TYPE,"3 1/2""",0.26,0.33,0.4,0.44,0.48,E
RIGID COUPLINGS & CONNECTORS,CONNECTORS COMPRESSION TYPE,"4""",0.34,0.44,0.54,0.59,0.65,E
RIGID STRAPS,ONE HOLE STRAPS,"1/2""",0.04,0.05,0.06,0.07,0.07,E
RIGID STRAPS,ONE HOLE STRAPS,"3/4""",0.05,0.06,0.07,0.08,0.08,E
RIGID STRAPS,ONE HOLE STRAPS,"1""",0.07,0.08,0.09,0.1,0.11,E
RIGID STRAPS,ONE HOLE STRAPS,"1 1/4""",0.09,0.1,0.11,0.12,0.13,E
RIGID STRAPS,ONE HOLE STRAPS,"1 1/2""",0.1,0.12,0.14,0.15,0.17,E
RIGID STRAPS,ONE HOLE STRAPS,"2""",0.13,0.15,0.17,0.19,0.21,E
RIGID STRAPS,ONE HOLE STRAPS,"2 1/2""",0.17,0.2,0.23,0.25,0.28,E
RIGID STRAPS,ONE HOLE STRAPS,"3""",0.19,0.25,0.31,0.34,0.38,E
RIGID STRAPS,ONE HOLE STRAPS,"3 1/2""",0.22,0.3,0.38,0.42,0.46,E
RIGID STRAPS,ONE HOLE STRAPS,"4""",0.3,0.4,0.5,0.55,0.61,E
RIGID STRAPS,ONE HOLE STRAPS,"5""",0.38,0.5,0.62,0.68,0.75,E
RIGID STRAPS,ONE HOLE STRAPS,"6""",0.46,0.6,0.74,0.81,0.9,E
RIGID STRAPS,TWO HOLE STRAPS,"1/2""",0.05,0.07,0.09,0.1,0.11,E
RIGID STRAPS,TWO HOLE STRAPS,"3/4""",0.06,0.08,0.1,0.11,0.12,E
RIGID STRAPS,TWO HOLE STRAPS,"1""",0.08,0.1,0.12,0.13,0.15,E
RIGID STRAPS,TWO HOLE STRAPS,"1 1/4""",0.1,0.13,0.16,0.18,0.19,E
RIGID STRAPS,TWO HOLE STRAPS,"1 1/2""",0.12,0.15,0.18,0.2,0.22,E
RIGID STRAPS,TWO HOLE STRAPS,"2""",0.14,0.18,0.22,0.24,0.27,E
RIGID STRAPS,TWO HOLE STRAPS,"2 1/2""",0.18,0.23,0.28,0.31,0.34,E
RIGID STRAPS,TWO HOLE STRAPS,"3""",0.2,0.27,0.34,0.37,0.41,E
RIGID STRAPS,TWO HOLE STRAPS,"3 1/2""",0.22,0.32,0.42,0.46,0.51,E
RIGID STRAPS,TWO HOLE STRAPS,"4""",0.33,0.43,0.53,0.58,0.64,E
RIGID STRAPS,TWO HOLE STRAPS,"5""",0.41,0.44,0.54,0.59,0.65,E
RIGID STRAPS,TWO HOLE STRAPS,"6""",0.45,0.55,0.65,0.72,0.79,E
RIGID STRAPS,NAIL STRAPS,"1/2""",0.04,0.05,0.06,0.07,0.07,E
RIGID STRAPS,NAIL STRAPS,"3/4""",0.05,0.06,0.07,0.08,0.08,E
RIGID STRAPS,NAIL STRAPS,"1""",0.07,0.08,0.08,0.09,0.1,E
RIGID STRAPS,CLAMP BACKS,"1/2""",0.02,0.03,0.04,0.04,0.04,E
RIGID STRAPS,CLAMP BACKS,"3/4""",0.03,0.04,0.05,0.05,0.06,E
RIGID STRAPS,CLAMP BACKS,"1""",0.05,0.06,0.07,0.08,0.09,E
RIGID STRAPS,CLAMP BACKS,"1 1/4""",0.06,0.08,0.1,0.11,0.12,E
RIGID STRAPS,CLAMP BACKS,"1 1/2""",0.08,0.1,0.12,0.13,0.15,E
RIGID STRAPS,CLAMP BACKS,"2""",0.08,0.1,0.12,0.13,0.15,E
RIGID STRAPS,CLAMP BACKS,"2 1/2""",0.1,0.13,0.16,0.17,0.19,E
RIGID STRAPS,CLAMP BACKS,"3""",0.13,0.16,0.19,0.21,0.23,E
RIGID STRAPS,CLAMP BACKS,"3 1/2""",0.16,0.2,0.24,0.26,0.29,E
RIGID STRAPS,CLAMP BACKS,"4""",0.2,0.25,0.3,0.33,0.36,E
RIGID STRAPS,CLAMP BACKS,"5""",0.25,0.3,0.35,0.39,0.42,E
RIGID STRAPS,CLAMP BACKS,"6""",0.3,0.35,0.4,0.44,0.48,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL CONDUIT,"1/2""",5.5,6.0,6.5,7.15,7.87,C
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL CONDUIT,"3/4""",6.0,6.5,7.0,7.7,8.47,C
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL CONDUIT,"1""",6.5,7.0,7.5,8.25,9.08,C
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL CONDUIT,"1 1/4""",8.25,9.0,9.75,10.73,11.8,C
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL CONDUIT,"1 1/2""",9.0,10.0,11.0,12.1,13.31,C
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL CONDUIT,"2""",11.5,12.5,13.5,14.85,16.34,C
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL CONDUIT,"2 1/2""",14.0,15.0,16.0,17.6,19.36,C
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL CONDUIT,"3""",15.0,17.0,19.0,20.9,22.99,C
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL CONDUIT,"3 1/2""",17.0,19.0,21.0,23.1,25.41,C
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL CONDUIT,"4""",18.0,21.0,24.0,26.4,29.04,C
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL CONDUIT,"PVC COATED 5""",27.0,30.0,33.0,36.3,39.93,C
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL CONDUIT,"6""",32.0,35.0,38.0,41.8,45.98,C
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL ELBOWS,"1/2""",0.25,0.3,0.35,0.39,0.42,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL ELBOWS,"3/4""",0.3,0.35,0.4,0.44,0.48,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL ELBOWS,"1""",0.45,0.5,0.55,0.61,0.67,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL ELBOWS,"1 1/4""",0.5,0.6,0.7,0.77,0.85,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL ELBOWS,"1 1/2""",0.6,0.7,0.8,0.88,0.97,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL ELBOWS,"2""",0.85,1.0,1.15,1.27,1.39,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL ELBOWS,"2 1/2""",1.15,1.3,1.45,1.6,1.75,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL ELBOWS,"PVC COATED 3""",1.3,1.5,1.7,1.87,2.06,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL ELBOWS,"3 1/2""",1.7,1.9,2.1,2.31,2.54,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL ELBOWS,"4""",2.45,2.7,2.95,3.25,3.57,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL ELBOWS,"5""",3.7,4.0,4.3,4.73,5.2,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL ELBOWS,"6""",4.6,5.0,5.4,5.94,6.53,E
RIGID PVC COATED CONDUIT,SWEEP ELBOWS PVC COATED,"2""",0.9,1.05,1.25,1.38,1.51,E
RIGID PVC COATED CONDUIT,SWEEP ELBOWS PVC COATED,"2 1/2""",1.35,1.6,1.9,2.09,2.3,E
RIGID PVC COATED CONDUIT,SWEEP ELBOWS PVC COATED,"3""",1.7,2.0,2.4,2.64,2.9,E
RIGID PVC COATED CONDUIT,SWEEP ELBOWS PVC COATED,"3 1/2""",2.15,2.5,3.0,3.3,3.63,E
RIGID PVC COATED CONDUIT,SWEEP ELBOWS PVC COATED,"4""",2.7,3.15,3.75,4.13,4.54,E
RIGID PVC COATED CONDUIT,SWEEP ELBOWS PVC COATED,"SWEEP ELBOW 5""",3.85,4.5,5.4,5.94,6.53,E
RIGID PVC COATED CONDUIT,SWEEP ELBOWS PVC COATED,"PVC COATED 6""",5.0,5.9,7.1,7.81,8.59,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL COUPLINGS,"1/2""",0.04,0.05,0.06,0.07,0.07,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL COUPLINGS,"3/4""",0.05,0.06,0.07,0.08,0.08,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL COUPLINGS,"1""",0.07,0.08,0.09,0.1,0.11,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL COUPLINGS,"1 1/4""",0.09,0.1,0.11,0.12,0.13,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL COUPLINGS,"1 1/2""",0.11,0.12,0.13,0.14,0.16,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL COUPLINGS,"2""",0.13,0.15,0.17,0.19,0.21,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL COUPLINGS,"PVC COATED 2 1/2""",0.18,0.2,0.22,0.24,0.27,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL COUPLINGS,"3""",0.22,0.25,0.28,0.31,0.34,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL COUPLINGS,"3 1/2""",0.25,0.3,0.35,0.39,0.42,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL COUPLINGS,"4""",0.35,0.4,0.45,0.5,0.54,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL COUPLINGS,"5""",0.4,0.5,0.6,0.66,0.73,E
RIGID PVC COATED CONDUIT,PVC COATED RIGID STEEL COUPLINGS,"6""",0.5,0.6,0.7,0.77,0.85,E
INTERMEDIATE METAL CONDUIT (IMC),INTERMEDIATE METAL CONDUIT,"1/2""",3.25,3.75,4.25,4.68,5.14,C
INTERMEDIATE METAL CONDUIT (IMC),INTERMEDIATE METAL CONDUIT,"3/4""",3.5,4.0,4.5,4.95,5.45,C
INTERMEDIATE METAL CONDUIT (IMC),INTERMEDIATE METAL CONDUIT,"1""",4.0,4.5,5.0,5.5,6.05,C
INTERMEDIATE METAL CONDUIT (IMC),INTERMEDIATE METAL CONDUIT,"1 1/4""",5.75,6.5,7.25,7.98,8.77,C
INTERMEDIATE METAL CONDUIT (IMC),INTERMEDIATE METAL CONDUIT,"1 1/2""",6.25,7.25,8.25,9.08,9.98,C
INTERMEDIATE METAL CONDUIT (IMC),INTERMEDIATE METAL CONDUIT,"2""",8.0,9.0,10.0,11.0,12.1,C
INTERMEDIATE METAL CONDUIT (IMC),INTERMEDIATE METAL CONDUIT,"2 1/2""",9.0,11.0,12.0,13.2,14.52,C
INTERMEDIATE METAL CONDUIT (IMC),INTERMEDIATE METAL CONDUIT,"IMC 3""",11.0,13.0,15.0,16.5,18.15,C
INTERMEDIATE METAL CONDUIT (IMC),INTERMEDIATE METAL CONDUIT,"3 1/2""",13.0,15.0,17.0,18.7,20.57,C
INTERMEDIATE METAL CONDUIT (IMC),INTERMEDIATE METAL CONDUIT,"4""",14.0,17.0,19.0,20.9,22.99,C
INTERMEDIATE METAL CONDUIT (IMC),INTERMEDIATE METAL CONDUIT ELBOWS,"1/2""",0.11,0.15,0.19,0.21,0.23,E
INTERMEDIATE METAL CONDUIT (IMC),INTERMEDIATE METAL CONDUIT ELBOWS,"3/4""",0.11,0.15,0.19,0.21,0.23,E
INTERMEDIATE METAL CONDUIT (IMC),INTERMEDIATE METAL CONDUIT ELBOWS,"1""",0.15,0.2,0.25,0.28,0.3,E
